"Set GUID","Question GUID"
"CG87S1.6.5","CG87Q2"
"CG87S1.6.5","CG87Q3"
"CG87S1.6.5","CG87Q4"
"CG87S1.6.5","CG87Q5"
"CG87S1.6.5","CG87Q6"
"CG87S1.6.5","CG87Q7"
"CG87S1.6.5","CG87Q8"
"CG87S1.6.5","CG87Q9"
"CG87S1.6.5","CG87Q10"
"CG87S1.6.5","CG87Q11"
"CG87S1.6.5","CG87Q12"
"CG87S1.6.5","CG87Q13"
"CG87S1.6.5","CG87Q14"
"CG87S1.6.5","CG87Q15"
"CG87S1.6.5","CG87Q16"
"CG87S1.6.5","CG87Q17"
"CG87S1.6.5","CG87Q18"
"CG173S2","CG173Q1"
"CG173S2","CG173Q2"
"CG173S3","CG173Q1"
"CG173S3","CG173Q2"
"IPG257S1","IPG257Q1"
"IPG257S2","IPG257Q1"
"TA71S01","TA71Q1"
"TA71S02","TA71Q1"
"TA152S02","TA152Q1"
"TA152S01","TA152Q1"
