"Quality statement GUID","Recommendation GUID"
"QS6s8","CG15R1.10.1.1"
"QS6s8","CG15R1.10.1.2"
"QS6s8","CG15R1.10.1.3"
"QS6s8","CG15R1.10.1.4"
"QS6s8","CG15R1.10.1.5"
"QS6s8","CG15R1.10.2.1"
"QS6s8","CG15R1.10.2.2"
"QS6s8","CG15R1.10.2.3"
"QS6s8","CG15R1.10.2.4"
"QS6s8","CG15R1.10.2.5"
"QS6s8","CG15R1.10.2.6"
"QS6s8","CG15R1.10.2.7"
"QS6s8","CG15R1.10.2.8"
"QS6s8","CG15R1.10.3.1"
"QS6s8","CG15R1.10.3.2"
"QS6s8","CG15R1.10.3.3"
"QS6s8","CG15R1.10.3.4"
"QS6s8","CG15R1.10.3.5"
"QS6s8","CG15R1.11.1.1"
"QS6s8","CG15R1.11.1.2"
"QS6s8","CG15R1.11.1.3"
"QS6s8","CG15R1.11.1.4"
"QS6s8","CG15R1.11.1.5"
"QS6s8","CG15R1.11.1.6"
"QS6s8","CG15R1.11.1.7"
"QS6s8","CG15R1.11.1.8"
"QS6s8","CG15R1.11.1.9"
"QS6s8","CG15R1.11.1.10"
"QS6s8","CG15R1.11.2.1"
"QS6s8","CG15R1.11.2.2"
"QS6s8","CG15R1.11.2.3"
"QS6s8","CG15R1.11.2.4"
"QS6s8","CG15R1.11.2.5"
"QS6s8","CG15R1.11.2.6"
"QS6s8","CG15R1.11.2.7"
"QS6s8","CG15R1.11.2.8"
"QS6s8","CG15R1.11.2.9"
"QS6s8","CG15R1.11.3.1"
"QS6s8","CG15R1.11.3.2"
"QS6s8","CG15R1.11.3.3"
"QS6s8","CG15R1.11.3.4"
"QS6s8","CG15R1.11.3.5"
"QS6s8","CG15R1.11.3.6"
"QS6s8","CG15R1.11.3.7"
"QS6s8","CG15R1.11.3.8"
"QS6s8","CG15R1.11.4.1"
"QS6s8","CG15R1.11.4.2"
"QS6s8","CG15R1.11.4.3"
"QS6s8","CG15R1.11.4.4"
"QS6s8","CG15R1.11.4.5"
"QS6s8","CG15R1.11.4.6"
"QS6s8","CG15R1.11.4.7"
"QS6s8","CG15R1.11.4.8"
"QS6s8","CG15R1.11.4.9"
"QS6s8","CG15R1.11.4.10"
"QS6s8","CG15R1.11.4.11"
"QS6s8","CG15R1.11.5.1"
"QS6s8","CG15R1.11.5.2"
"QS6s8","CG15R1.11.5.3"
"QS6s8","CG15R1.11.5.4"
"QS6s8","CG15R1.11.5.5"
"QS6s8","CG15R1.11.5.6"
"QS6s8","CG15R1.11.5.7"
"QS6s8","CG15R1.11.5.8"
"QS6s9","CG87R1.2.2.1"
"QS6s9","CG91R1.1.3.1"
"QS6s9","CG91R1.1.3.2"
"QS6s9","CG91R1.1.3.3"
"QS6s9","CG91R1.1.3.4"
"QS6s9","CG91R1.1.3.5"
"QS6s9","CG91R1.1.3.6"
"QS6s10","CG10R1.1.4.3"
"QS6s10","CG10R1.1.5.2"
"QS6s10","CG10R1.1.5.3"
"QS6s10","CG10R1.1.5.4"
"QS6s10","CG10R1.1.5.5"
"QS6s10","CG10R1.1.4.1"
"QS6s10","CG10R1.1.5.1"
"QS6s11","CG119R1.1.3"
"QS6s11","CG119R1.1.4"
"QS6s11","CG119R1.1.9"
"QS6s12","CG15R1.12.3.1"
"QS6s12","CG15R1.12.3.2"
"QS6s12","CG15R1.12.3.3"
"QS6s12","CG15R1.12.3.4"
"QS6s13","CG15R1.12.3.1"
"QS6s13","CG15R1.12.5.1"
"QS6s14","CG15R1.9.5.5"
"QS6s14","CG15R1.9.5.7"
